,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mean_d[0],4.646,0.391,3.94,5.394,0.006,0.006,4503.0,2899.0,1.0
mean_d[1],4.617,0.397,3.871,5.351,0.006,0.007,4517.0,3012.0,1.0
mean_d[2],1.584,0.362,0.887,2.247,0.005,0.007,5462.0,2784.0,1.0
mean_d[3],1.556,0.365,0.885,2.259,0.005,0.007,5347.0,2721.0,1.0
mean_c[0],2.572,0.172,2.255,2.898,0.002,0.003,5156.0,2721.0,1.0
mean_c[1],2.523,0.174,2.196,2.851,0.002,0.003,5561.0,3164.0,1.0
mean_c[2],0.873,0.167,0.562,1.19,0.002,0.003,4684.0,2359.0,1.0
mean_c[3],0.873,0.168,0.564,1.181,0.002,0.003,5180.0,3043.0,1.0
sd_d,1.194,0.176,0.884,1.529,0.003,0.003,3951.0,2978.0,1.0
sd_c,0.529,0.068,0.412,0.664,0.001,0.001,4855.0,3318.0,1.0
